,Time,Age,Sex,Value,Country
0,1950,4,Male,-40526.811,China
1,1950,9,Male,-30164.317,China
2,1950,14,Male,-29073.1795,China
3,1950,19,Male,-27570.5835,China
4,1950,24,Male,-24051.5355,China
5,1950,29,Male,-21403.5365,China
6,1950,34,Male,-18882.7635,China
7,1950,39,Male,-17511.0125,China
8,1950,44,Male,-15672.1755,China
9,1950,49,Male,-14104.556,China
10,1950,54,Male,-11538.637,China
11,1950,59,Male,-9938.6135,China
12,1950,64,Male,-7913.662,China
13,1950,69,Male,-5588.733,China
14,1950,74,Male,-3130.232,China
15,1950,79,Male,-1851.124,China
16,1950,84,Male,-842.9075,China
17,1950,89,Male,-269.446,China
18,1950,94,Male,-48.9975,China
19,1950,99,Male,-3.955,China
20,1950,100,Male,-0.0935,China
21,1951,4,Male,-43027.4065,China
22,1951,9,Male,-30666.335,China
23,1951,14,Male,-29035.249,China
24,1951,19,Male,-28042.0925,China
25,1951,24,Male,-24534.919,China
26,1951,29,Male,-21688.327,China
27,1951,34,Male,-19091.627,China
28,1951,39,Male,-17776.2345,China
29,1951,44,Male,-15680.951,China
30,1951,49,Male,-14256.5515,China
31,1951,54,Male,-11602.2405,China
32,1951,59,Male,-10006.746,China
33,1951,64,Male,-7812.352,China
34,1951,69,Male,-5522.3665,China
35,1951,74,Male,-3165.8095,China
36,1951,79,Male,-1779.723,China
37,1951,84,Male,-807.1575,China
38,1951,89,Male,-258.296,China
39,1951,94,Male,-48.3465,China
40,1951,99,Male,-3.929,China
41,1951,100,Male,-0.073,China
42,1952,4,Male,-45801.088,China
43,1952,9,Male,-31687.197,China
44,1952,14,Male,-28957.342,China
45,1952,19,Male,-28473.2415,China
46,1952,24,Male,-25046.0725,China
47,1952,29,Male,-22015.2405,China
48,1952,34,Male,-19322.121,China
49,1952,39,Male,-18017.5565,China
50,1952,44,Male,-15742.385,China
51,1952,49,Male,-14311.6305,China
52,1952,54,Male,-11768.523,China
53,1952,59,Male,-10014.361,China
54,1952,64,Male,-7757.7095,China
55,1952,69,Male,-5480.824,China
56,1952,74,Male,-3241.435,China
57,1952,79,Male,-1700.0405,China
58,1952,84,Male,-781.4615,China
59,1952,89,Male,-248.139,China
60,1952,94,Male,-47.513,China
61,1952,99,Male,-3.9445,China
62,1952,100,Male,-0.064,China
63,1953,4,Male,-48579.426,China
64,1953,9,Male,-33240.0045,China
65,1953,14,Male,-28812.652,China
66,1953,19,Male,-28612.6835,China
67,1953,24,Male,-25633.4755,China
68,1953,29,Male,-22501.6235,China
69,1953,34,Male,-19651.232,China
70,1953,39,Male,-18079.343,China
71,1953,44,Male,-15950.8255,China
72,1953,49,Male,-14318.7185,China
73,1953,54,Male,-12014.955,China
74,1953,59,Male,-9964.626,China
75,1953,64,Male,-7761.28,China
76,1953,69,Male,-5477.225,China
77,1953,74,Male,-3328.9315,China
78,1953,79,Male,-1621.718,China
79,1953,84,Male,-762.962,China
80,1953,89,Male,-240.86,China
81,1953,94,Male,-46.411,China
82,1953,99,Male,-3.8985,China
83,1953,100,Male,-0.0685,China
84,1954,4,Male,-50948.5745,China
85,1954,9,Male,-35086.3635,China
86,1954,14,Male,-28911.075,China
87,1954,19,Male,-28467.5225,China
88,1954,24,Male,-26285.9265,China
89,1954,29,Male,-22889.852,China
90,1954,34,Male,-20143.8885,China
91,1954,39,Male,-18011.2655,China
92,1954,44,Male,-16254.9845,China
93,1954,49,Male,-14383.8315,China
94,1954,54,Male,-12337.835,China
95,1954,59,Male,-9881.5495,China
96,1954,64,Male,-7782.8615,China
97,1954,69,Male,-5511.676,China
98,1954,74,Male,-3380.847,China
99,1954,79,Male,-1570.8675,China
100,1954,84,Male,-740.909,China
101,1954,89,Male,-233.9605,China
102,1954,94,Male,-44.975,China
103,1954,99,Male,-3.804,China
104,1954,100,Male,-0.074,China
105,1955,4,Male,-53052.095,China
106,1955,9,Male,-37376.576,China
107,1955,14,Male,-29234.1315,China
108,1955,19,Male,-28330.2605,China
109,1955,24,Male,-26817.371,China
110,1955,29,Male,-23256.84,China
111,1955,34,Male,-20617.056,China
112,1955,39,Male,-18093.8005,China
113,1955,44,Male,-16550.314,China
114,1955,49,Male,-14476.705,China
115,1955,54,Male,-12614.068,China
116,1955,59,Male,-9848.24,China
117,1955,64,Male,-7847.263,China
118,1955,69,Male,-5510.966,China
119,1955,74,Male,-3374.861,China
120,1955,79,Male,-1563.173,China
121,1955,84,Male,-713.287,China
