,Time,Country,Old to Working Age Dependency Ratio
0,1950,Afghanistan,5.073549709199925
1,1951,Afghanistan,5.084456430844033
2,1952,Afghanistan,5.0895470086939785
3,1953,Afghanistan,5.094378928629433
4,1954,Afghanistan,5.098170602590671
5,1955,Afghanistan,5.100505687868151
6,1956,Afghanistan,5.103840524176063
7,1957,Afghanistan,5.108137945760565
8,1958,Afghanistan,5.1151072308407155
9,1959,Afghanistan,5.11486766939951
10,1960,Afghanistan,5.100901063062719
11,1961,Afghanistan,5.078077667406751
12,1962,Afghanistan,5.049548424261952
13,1963,Afghanistan,5.022020415827387
14,1964,Afghanistan,4.999719129961471
15,1965,Afghanistan,4.9852874722326606
16,1966,Afghanistan,4.979162400498944
17,1967,Afghanistan,4.976930264056085
18,1968,Afghanistan,4.976000676766393
19,1969,Afghanistan,4.974508196619751
20,1970,Afghanistan,4.97039199589738
21,1971,Afghanistan,4.967773346165502
22,1972,Afghanistan,4.965025164362958
23,1973,Afghanistan,4.959390582640663
24,1974,Afghanistan,4.956236762303506
25,1975,Afghanistan,4.956795799126774
26,1976,Afghanistan,4.962235264451731
27,1977,Afghanistan,4.965320198357199
28,1978,Afghanistan,4.956994045833824
29,1979,Afghanistan,4.9347880313000765
30,1980,Afghanistan,4.901787678145627
31,1981,Afghanistan,4.865830321294432
32,1982,Afghanistan,4.8155188375648015
33,1983,Afghanistan,4.755125968332482
34,1984,Afghanistan,4.6747664930031725
35,1985,Afghanistan,4.576101267565636
36,1986,Afghanistan,4.508381475196975
37,1987,Afghanistan,4.473852846409836
38,1988,Afghanistan,4.457402333201466
39,1989,Afghanistan,4.462209007883193
40,1990,Afghanistan,4.468221457557414
41,1991,Afghanistan,4.482376714164958
42,1992,Afghanistan,4.514652998918039
43,1993,Afghanistan,4.55441714690253
44,1994,Afghanistan,4.593353536230081
45,1995,Afghanistan,4.628650921231606
46,1996,Afghanistan,4.663247679653448
47,1997,Afghanistan,4.693863584878072
48,1998,Afghanistan,4.718487518536476
49,1999,Afghanistan,4.741472415705627
50,2000,Afghanistan,4.760319327251797
51,2001,Afghanistan,4.775097883907343
52,2002,Afghanistan,4.791608909985509
53,2003,Afghanistan,4.804543204697036
54,2004,Afghanistan,4.806580372041664
55,2005,Afghanistan,4.78196430833589
56,2006,Afghanistan,4.750414946213604
57,2007,Afghanistan,4.80367699689668
58,2008,Afghanistan,4.84938460141916
59,2009,Afghanistan,4.830453518893469
60,2010,Afghanistan,4.834734029305758
61,2011,Afghanistan,4.8091522741052755
