Time,Afghanistan,Bangladesh,Brazil,China,India,Indonesia,Japan,Mexico,Nigeria,Pakistan,Republic of Korea,Russian Federation,United States of America
1950,4.20M,21.83M,29.72M,327.29M,210.59M,39.64M,50.38M,14.59M,20.61M,20.37M,10.92M,67.45M,96.05M
1960,4.79M,27.58M,38.95M,364.29M,250.57M,51.09M,61.12M,18.33M,25.01M,25.57M,14.14M,75.99M,105.63M
1970,5.76M,35.17M,52.20M,455.64M,308.48M,62.65M,73.02M,24.89M,30.33M,31.45M,17.66M,86.05M,124.03M
1980,6.43M,43.21M,70.67M,584.36M,393.70M,82.85M,79.52M,35.04M,38.51M,43.15M,23.68M,94.24M,147.83M
1990,5.38M,57.45M,90.87M,759.36M,504.45M,109.67M,86.24M,46.45M,49.55M,60.95M,30.52M,99.26M,164.13M
2000,9.38M,76.13M,113.72M,866.48M,640.62M,137.81M,86.00M,59.46M,65.74M,82.77M,33.63M,101.81M,187.11M
2010,13.72M,92.26M,134.18M,983.22M,793.44M,161.54M,80.96M,71.96M,84.74M,110.89M,35.42M,103.20M,208.82M
2020,20.96M,112.82M,148.97M,988.57M,938.59M,183.70M,73.27M,83.97M,111.45M,133.03M,37.33M,97.58M,219.25M
2030,28.70M,126.66M,153.97M,972.45M,"1,043.39M",200.24M,68.67M,91.91M,147.76M,169.55M,33.73M,92.59M,221.96M
2040,38.10M,134.41M,153.62M,866.63M,"1,102.20M",207.22M,59.80M,94.06M,190.05M,206.96M,28.48M,88.83M,225.37M
2050,47.79M,136.00M,145.85M,767.37M,"1,118.81M",208.13M,53.31M,92.62M,235.77M,243.13M,23.98M,79.85M,228.06M
