,Time,Country,Young and Old to Working Age Dependency Ratio
0,1950,Afghanistan,78.16606960100168
1,1951,Afghanistan,78.1537161629571
2,1952,Afghanistan,78.17225436964586
3,1953,Afghanistan,78.23951490303858
4,1954,Afghanistan,78.39020695031968
5,1955,Afghanistan,78.62941065224952
6,1956,Afghanistan,78.931696581068
7,1957,Afghanistan,79.25454645291579
8,1958,Afghanistan,79.56632128410476
9,1959,Afghanistan,79.83679178157045
10,1960,Afghanistan,80.05111404521162
11,1961,Afghanistan,80.22231986102398
12,1962,Afghanistan,80.40193277875461
13,1963,Afghanistan,80.7153078052936
14,1964,Afghanistan,81.21955707763439
15,1965,Afghanistan,81.99481517773476
16,1966,Afghanistan,82.95472205157554
17,1967,Afghanistan,83.90805653584948
18,1968,Afghanistan,84.84415749212596
19,1969,Afghanistan,85.76083248974284
20,1970,Afghanistan,86.6447944701755
21,1971,Afghanistan,87.49314613957989
22,1972,Afghanistan,88.31356639879739
23,1973,Afghanistan,89.10824777805696
24,1974,Afghanistan,89.89218508870354
25,1975,Afghanistan,90.65687102755257
26,1976,Afghanistan,91.39638253991164
27,1977,Afghanistan,92.11994559532297
28,1978,Afghanistan,92.82450213112908
29,1979,Afghanistan,93.5076064239243
30,1980,Afghanistan,94.16496609865477
31,1981,Afghanistan,94.79133070624286
32,1982,Afghanistan,95.36894150651133
33,1983,Afghanistan,95.83013392830789
34,1984,Afghanistan,96.24428026395321
35,1985,Afghanistan,96.6547233366545
36,1986,Afghanistan,97.07748960143289
37,1987,Afghanistan,97.49192953067161
38,1988,Afghanistan,97.91602674330848
39,1989,Afghanistan,98.36070189550144
40,1990,Afghanistan,98.89046942207592
41,1991,Afghanistan,99.55702557493865
42,1992,Afghanistan,100.30219510497422
43,1993,Afghanistan,101.07210139238785
44,1994,Afghanistan,101.98829463957591
45,1995,Afghanistan,103.02846543835787
46,1996,Afghanistan,104.14390176229983
47,1997,Afghanistan,105.28866321664954
48,1998,Afghanistan,106.41901287143342
49,1999,Afghanistan,107.47247720576958
50,2000,Afghanistan,108.34663952390358
51,2001,Afghanistan,108.9898909377006
52,2002,Afghanistan,109.34716184042618
53,2003,Afghanistan,109.44752278277903
54,2004,Afghanistan,109.28682469690305
55,2005,Afghanistan,107.96460037516995
56,2006,Afghanistan,106.32619080490946
57,2007,Afghanistan,108.3381212153798
58,2008,Afghanistan,109.24037890061784
59,2009,Afghanistan,106.84577035739655
60,2010,Afghanistan,105.43342383853431
61,2011,Afghanistan,102.5859789285116
62,2012,Afghanistan,99.30035657430794
63,2013,Afghanistan,97.12553668792852
64,2014,Afghanistan,94.70670289114925
65,2015,Afghanistan,93.04244766403964
66,2016,Afghanistan,92.0121276918458
67,2017,Afghanistan,90.54309143309732
68,2018,Afghanistan,89.0914559996404
69,2019,Afghanistan,87.64931876107973
70,2020,Afghanistan,85.9595523188156
71,2021,Afghanistan,84.59925737162258
72,2022,Afghanistan,83.57035505031509
73,2023,Afghanistan,82.61590448653678
74,2024,Afghanistan,81.81908671696483
75,2025,Afghanistan,80.92315660106581
76,2026,Afghanistan,80.01967156453922
77,2027,Afghanistan,79.01195448064186
78,2028,Afghanistan,77.84975653872635
79,2029,Afghanistan,76.63508711557657
80,2030,Afghanistan,75.35919859983949
81,2031,Afghanistan,74.0768918145924
82,2032,Afghanistan,72.84505857136146
83,2033,Afghanistan,71.61435131731115
84,2034,Afghanistan,70.37192207803822
85,2035,Afghanistan,69.12445138071608
86,2036,Afghanistan,67.8520826017294
87,2037,Afghanistan,66.59953861505737
88,2038,Afghanistan,65.40257349208764
89,2039,Afghanistan,64.26025187450755
90,2040,Afghanistan,63.189788826408254
91,2041,Afghanistan,62.164250603019035
92,2042,Afghanistan,61.18285287293565
93,2043,Afghanistan,60.25786822154748
94,2044,Afghanistan,59.38392540588462
95,2045,Afghanistan,58.553259853392156
96,2046,Afghanistan,57.76734065914467
97,2047,Afghanistan,57.01619504029637
98,2048,Afghanistan,56.297154097711676
99,2049,Afghanistan,55.62309562928974
