,Time,Country,Young to Working Age Dependency Ratio
0,1950,Afghanistan,73.09251989180177
1,1951,Afghanistan,73.06925973211307
2,1952,Afghanistan,73.08270736095187
3,1953,Afghanistan,73.14513597440914
4,1954,Afghanistan,73.29203634772901
5,1955,Afghanistan,73.52890496438137
6,1956,Afghanistan,73.82785605689193
7,1957,Afghanistan,74.14640850715523
8,1958,Afghanistan,74.45121405326405
9,1959,Afghanistan,74.72192411217094
10,1960,Afghanistan,74.9502129821489
11,1961,Afghanistan,75.14424219361723
12,1962,Afghanistan,75.35238435449266
13,1963,Afghanistan,75.69328738946622
14,1964,Afghanistan,76.21983794767293
15,1965,Afghanistan,77.0095277055021
16,1966,Afghanistan,77.9755596510766
17,1967,Afghanistan,78.93112627179339
18,1968,Afghanistan,79.86815681535957
19,1969,Afghanistan,80.78632429312309
20,1970,Afghanistan,81.67440247427812
21,1971,Afghanistan,82.52537279341439
22,1972,Afghanistan,83.34854123443445
23,1973,Afghanistan,84.1488571954163
24,1974,Afghanistan,84.93594832640005
25,1975,Afghanistan,85.7000752284258
26,1976,Afghanistan,86.43414727545989
27,1977,Afghanistan,87.15462539696577
28,1978,Afghanistan,87.86750808529527
29,1979,Afghanistan,88.57281839262421
30,1980,Afghanistan,89.26317842050915
31,1981,Afghanistan,89.92550038494844
32,1982,Afghanistan,90.55342266894654
33,1983,Afghanistan,91.0750079599754
34,1984,Afghanistan,91.56951377095004
35,1985,Afghanistan,92.07862206908887
36,1986,Afghanistan,92.5691081262359
37,1987,Afghanistan,93.01807668426176
38,1988,Afghanistan,93.45862441010702
39,1989,Afghanistan,93.89849288761825
40,1990,Afghanistan,94.42224796451852
41,1991,Afghanistan,95.07464886077368
42,1992,Afghanistan,95.78754210605616
43,1993,Afghanistan,96.51768424548533
44,1994,Afghanistan,97.39494110334583
45,1995,Afghanistan,98.39981451712626
46,1996,Afghanistan,99.4806540826464
47,1997,Afghanistan,100.59479963177147
48,1998,Afghanistan,101.70052535289696
49,1999,Afghanistan,102.73100479006393
50,2000,Afghanistan,103.58632019665177
51,2001,Afghanistan,104.21479305379324
52,2002,Afghanistan,104.55555293044068
53,2003,Afghanistan,104.64297957808199
54,2004,Afghanistan,104.4802443248614
55,2005,Afghanistan,103.18263606683406
56,2006,Afghanistan,101.57577585869586
57,2007,Afghanistan,103.53444421848315
58,2008,Afghanistan,104.3909942991987
59,2009,Afghanistan,102.01531683850308
60,2010,Afghanistan,100.59868980922855
61,2011,Afghanistan,97.77682665440634
62,2012,Afghanistan,94.53312256645322
63,2013,Afghanistan,92.38804906287866
64,2014,Afghanistan,90.0159029886448
65,2015,Afghanistan,88.39820202603214
66,2016,Afghanistan,87.40577680514492
67,2017,Afghanistan,85.97040482354961
68,2018,Afghanistan,84.53984884809934
69,2019,Afghanistan,83.1124201526518
70,2020,Afghanistan,81.46499731275914
71,2021,Afghanistan,80.16138334739063
72,2022,Afghanistan,79.17505712698943
73,2023,Afghanistan,78.24199851317108
74,2024,Afghanistan,77.43816092921551
75,2025,Afghanistan,76.51593853184869
76,2026,Afghanistan,75.5743268639589
77,2027,Afghanistan,74.52633060980904
78,2028,Afghanistan,73.32219511270453
79,2029,Afghanistan,72.06114587667824
80,2030,Afghanistan,70.7351600477974
81,2031,Afghanistan,69.39703751395186
82,2032,Afghanistan,68.10178653179456
83,2033,Afghanistan,66.80196085509105
84,2034,Afghanistan,65.48532685300593
85,2035,Afghanistan,64.15970789012697
86,2036,Afghanistan,62.806350844940596
87,2037,Afghanistan,61.46939770670454
88,2038,Afghanistan,60.18386583482032
89,2039,Afghanistan,58.948430765484815
90,2040,Afghanistan,57.78144044431471
91,2041,Afghanistan,56.65789153366537
